1960
DATE;TITLE;ARTIST;WKS AT NO.1
29/01/1960;STARRY EYED;MICHAEL HOLLIDAY WITH THE MICHAEL SAMMES SINGERS;1
05/02/1960;WHY;ANTHONY NEWLEY;4
10/03/1960;POOR ME;ADAM FAITH;1
17/03/1960;RUNNING BEAR;JOHNNY PRESTON;2
31/03/1960;MY OLD MAN'S A DUSTMAN;LONNIE DONEGAN;4
28/04/1960;DO YOU MIND;ANTHONY NEWLEY;1
05/05/1960;CATHY'S CLOWN;EVERLY BROTHERS;7
23/06/1960;THREE STEPS TO HEAVEN;EDDIE COCHRAN;2
07/07/1960;GOOD TIMIN';JIMMY JONES;3
28/07/1960;PLEASE DON'T TEASE;CLIFF RICHARD & THE SHADOWS;1
04/08/1960;SHAKIN' ALL OVER;JOHNNY KIDD & THE PIRATES;1
11/08/1960;PLEASE DON'T TEASE;CLIFF RICHARD & THE SHADOWS;2
25/08/1960;APACHE;SHADOWS;5
29/09/1960;TELL LAURA I LOVE HER;RICKY VALANCE;3
20/10/1960;ONLY THE LONELY;ROY ORBISON;2
03/11/1960;IT'S NOW OR NEVER;ELVIS PRESLEY WITH THE JORDANAIRES;8
29/12/1960;I LOVE YOU;CLIFF RICHARD & THE SHADOWS;2
1961
DATE;TITLE;ARTIST;WKS AT NO.1
12/01/1961;POETRY IN MOTION;JOHNNY TILLOTSON;2
26/01/1961;ARE YOU LONESOME TONIGHT;ELVIS PRESLEY WITH THE JORDANAIRES;4
23/02/1961;SAILOR;PETULA CLARK;1
02/03/1961;WALK RIGHT BACK/EBONY EYES;EVERLY BROTHERS;3
23/03/1961;WOODEN HEART;ELVIS PRESLEY;6
04/05/1961;BLUE MOON;MARCELS;2
18/05/1961;ON THE REBOUND;FLOYD CRAMER;1
25/05/1961;YOU'RE DRIVING ME CRAZY;TEMPERANCE SEVEN;1
01/06/1961;SURRENDER;ELVIS PRESLEY WITH THE JORDANAIRES;4
29/06/1961;RUNAWAY;DEL SHANNON;3
20/07/1961;TEMPTATION;EVERLY BROTHERS;2
03/08/1961;WELL I ASK YOU;EDEN KANE;1
10/08/1961;YOU DON'T KNOW;HELEN SHAPIRO;3
31/08/1961;JOHNNY REMEMBER ME;JOHN LEYTON;3
21/09/1961;REACH FOR THE STARS/CLIMB EV'RY MOUNTAIN;SHIRLEY BASSEY;1
28/09/1961;JOHNNY REMEMBER ME;JOHN LEYTON;1
05/10/1961;KON-TIKI;SHADOWS;1
12/10/1961;MICHAEL;HIGHWAYMEN;1
19/10/1961;WALKIN' BACK TO HAPPINESS;HELEN SHAPIRO;3
09/11/1961;(MARIE'S THE NAME) HIS LATEST FLAME/LITTLE SISTER;ELVIS PRESLEY;4
07/12/1961;TOWER OF STRENGTH;FRANKIE VAUGHAN;3
28/12/1961;MOON RIVER;DANNY WILLIAMS;2
1962
DATE;TITLE;ARTIST;WKS AT NO.1
11/01/1962;THE YOUNG ONES;CLIFF RICHARD & THE SHADOWS;6
22/02/1962;ROCK A HULA BABY/CAN'T HELP FALLING IN LOVE;ELVIS PRESLEY;4
22/03/1962;WONDERFUL LAND;SHADOWS;8
17/05/1962;NUT ROCKER;B.BUMBLE & THE STINGERS;1
24/05/1962;GOOD LUCK CHARM;ELVIS PRESLEY;5
28/06/1962;COME OUTSIDE;MIKE SARNE WITH WENDY RICHARD;2
12/07/1962;I CAN'T STOP LOVING YOU;RAY CHARLES;2
26/07/1962;I REMEMBER YOU;FRANK IFIELD;7
13/09/1962;SHE'S NOT YOU;ELVIS PRESLEY;3
04/10/1962;TELSTAR;TORNADOS;5
08/11/1962;LOVESICK BLUES;FRANK IFIELD;5
13/12/1962;RETURN TO SENDER;ELVIS PRESLEY WITH THE JORDANAIRES;3
1963
DATE;TITLE;ARTIST;WKS AT NO.1
03/01/1963;THE NEXT TIME/BACHELOR BOY;CLIFF RICHARD & THE SHADOWS;3
24/01/1963;DANCE ON!;SHADOWS;1
31/01/1963;DIAMONDS;JET HARRIS & TONY MEEHAN;3
21/02/1963;THE WAYWARD WIND;FRANK IFIELD;3
14/03/1963;SUMMER HOLIDAY;CLIFF RICHARD & THE SHADOWS;2
29/03/1963;FOOT TAPPER;SHADOWS;1
04/04/1963;SUMMER HOLIDAY;CLIFF RICHARD & THE SHADOWS;1
11/04/1963;HOW DO YOU DO IT?;GERRY & THE PACEMAKERS;3
02/05/1963;FROM ME TO YOU;BEATLES;7
20/06/1963;I LIKE IT;GERRY & THE PACEMAKERS;4
18/07/1963;CONFESSIN' (THAT I LOVE YOU);FRANK IFIELD;2
01/08/1963;(YOU'RE THE) DEVIL IN DISGUISE;ELVIS PRESLEY WITH THE JORDANAIRES;1
08/08/1963;SWEETS FOR MY SWEET;SEARCHERS;2
22/08/1963;BAD TO ME;BILLY J. KRAMER & THE DAKOTAS;3
12/09/1963;SHE LOVES YOU;BEATLES;4
10/10/1963;DO YOU LOVE ME;BRIAN POOLE & THE TREMELOES;3
31/10/1963;YOU'LL NEVER WALK ALONE;GERRY & THE PACEMAKERS;4
28/11/1963;SHE LOVES YOU;BEATLES;2
12/12/1963;I WANT TO HOLD YOUR HAND;BEATLES;5
1964
DATE;TITLE;ARTIST;WKS AT NO.1
16/01/1964;GLAD ALL OVER;DAVE CLARK FIVE;2
30/01/1964;NEEDLES AND PINS;SEARCHERS;3
20/02/1964;DIANE;BACHELORS;1
27/02/1964;ANYONE WHO HAD A HEART;CILLA BLACK;3
19/03/1964;LITTLE CHILDREN;BILLY J. KRAMER & THE DAKOTAS;2
02/04/1964;CAN'T BUY ME LOVE;BEATLES;3
23/04/1964;A WORLD WITHOUT LOVE;PETER & GORDON;2
07/05/1964;DON'T THROW YOUR LOVE AWAY;SEARCHERS;2
21/05/1964;JULIET;FOUR PENNIES;1
28/05/1964;YOU'RE MY WORLD;CILLA BLACK;4
